TRATAMENTOS,REP,COL,CERC,FERR,
CONTR,80,1,1,0,
CONTR,81,1,3,0,
CONTR,82,1,1,0,
CONTR,83,1,2,0,
CONTR,84,1,1,0,
CONTR,85,1,0,1,
CONTR,86,1,0,0,
CONTR,87,1,3,0,
CONTR,88,1,1,0,
CONTR,89,1,3,0,
CONTR,90,1,0,0,
CONTR,91,1,1,0,
CONTR,92,1,2,0,
CONTR,93,1,0,1,
CONTR,94,1,1,0,
CONTR,95,1,4,0,
CONTR,96,1,1,0,
CONTR,97,1,0,1,
CONTR,98,1,1,0,
CONTR,99,1,0,0,
CONTR,100,1,1,0,
CALDA,1,1,0,0,
CALDA,2,1,1,0,
CALDA,3,1,1,0,
CALDA,4,1,1,0,
CALDA,5,1,1,0,
CALDA,6,1,0,1,
CALDA,7,1,1,1,
CALDA,8,1,2,0,
CALDA,9,1,0,0,
CALDA,10,1,1,2,
CALDA,11,1,0,1,
CALDA,12,1,0,0,
CALDA,13,1,0,0,
CALDA,14,1,0,1,
CALDA,15,1,1,0,
CALDA,16,1,0,0,
CALDA,17,1,0,0,
CALDA,18,1,0,0,
CALDA,19,1,1,0,
CALDA,20,1,0,0,
CALDA,21,1,0,0,
CALDA,22,1,1,1,
CALDA,23,1,1,0,
CALDA,24,1,0,0,
CALDA,25,1,0,0,
CALDA,26,1,0,0,
CALDA,27,1,0,0,
CALDA,28,1,0,0,
CALDA,29,1,0,0,
CALDA,30,1,0,0,
CALDA,31,1,0,1,
CALDA,32,1,0,0,
CALDA,33,1,0,1,
CALDA,34,1,0,0,
CALDA,35,1,1,0,
CALDA,36,1,1,0,
CALDA,37,1,0,0,
CALDA,38,1,0,0,
CALDA,39,1,0,0,
CALDA,40,1,0,0,
CALDA,41,1,0,1,
CALDA,42,1,0,1,
CALDA,43,1,2,0,
CALDA,44,1,1,0,
CALDA,45,1,1,2,
CALDA,46,1,2,0,
CALDA,47,1,0,0,
CALDA,48,1,3,0,
CALDA,49,1,1,0,
CALDA,50,1,0,0,
CALDA,51,1,0,2,
CALDA,52,1,0,0,
CALDA,53,1,1,0,
CALDA,54,1,0,0,
CALDA,55,1,0,0,
CALDA,56,1,0,0,
CALDA,57,1,1,1,
CALDA,58,1,0,0,
CALDA,59,1,1,0,
CALDA,60,1,3,0,
CALDA,61,1,0,0,
CALDA,62,1,1,0,
CALDA,63,1,1,0,
CALDA,64,1,0,0,
CALDA,65,1,1,0,
CALDA,66,1,0,0,
CALDA,67,1,1,0,
CALDA,68,1,0,1,
CALDA,69,1,1,0,
CALDA,70,1,1,0,
CALDA,71,1,3,0,
CALDA,72,1,1,0,
CALDA,73,1,1,0,
CALDA,74,1,1,0,
CALDA,75,1,2,0,
CALDA,76,1,0,0,
CALDA,77,1,0,0,
CALDA,78,1,0,0,
CALDA,79,1,1,0,
CALDA,80,1,0,0,
CALDA,81,1,1,0,
CALDA,82,1,0,0,
CALDA,83,1,1,0,
CALDA,84,1,1,0,
CALDA,85,1,1,0,
CALDA,86,1,0,0,
CALDA,87,1,1,0,
CALDA,88,1,1,0,
CALDA,89,1,2,0,
CALDA,90,1,1,0,
CALDA,91,1,1,1,
CALDA,92,1,0,1,
CALDA,93,1,1,2,
CALDA,94,1,2,0,
CALDA,95,1,1,0,
CALDA,96,1,0,0,
CALDA,97,1,1,0,
CALDA,98,1,1,0,
CALDA,99,1,1,0,
CALDA,100,1,1,0,
CONTR,1,2,2,1,
CONTR,2,2,1,2,
CONTR,3,2,0,0,
CONTR,4,2,1,0,
CONTR,5,2,1,0,
CONTR,6,2,1,0,
CONTR,7,2,0,2,
CONTR,8,2,2,0,
CONTR,9,2,0,2,
CONTR,10,2,2,0,
CONTR,11,2,0,0,
CONTR,12,2,1,0,
CONTR,13,2,0,0,
CONTR,14,2,1,0,
CONTR,15,2,1,1,
CONTR,16,2,1,0,
CONTR,17,2,1,0,
CONTR,18,2,1,0,
CONTR,19,2,1,2,
CONTR,20,2,1,1,
CONTR,21,2,1,0,
CONTR,22,2,1,0,
CONTR,23,2,1,1,
CONTR,24,2,0,1,
CONTR,25,2,0,0,
CONTR,26,2,0,0,
CONTR,27,2,0,1,
CONTR,28,2,0,0,
CONTR,29,2,1,2,
CONTR,30,2,1,0,
CONTR,31,2,0,1,
CONTR,32,2,0,2,
CONTR,33,2,0,1,
CONTR,34,2,1,1,
CONTR,35,2,1,0,
CONTR,36,2,0,0,
CONTR,37,2,0,1,
CONTR,38,2,2,0,
CONTR,39,2,2,0,
CONTR,40,2,0,1,
CONTR,41,2,1,1,
CONTR,42,2,0,0,
CONTR,43,2,1,1,
CONTR,44,2,0,1,
CONTR,45,2,2,0,
CONTR,46,2,1,0,
CONTR,47,2,1,2,
CONTR,48,2,1,2,
CONTR,49,2,1,0,
CONTR,50,2,1,0,
CONTR,51,2,1,0,
CONTR,52,2,0,0,
CONTR,53,2,1,0,
CONTR,54,2,0,2,
CONTR,55,2,2,0,
CONTR,56,2,1,2,
CONTR,57,2,0,1,
CONTR,58,2,2,2,
CONTR,59,2,0,1,
CONTR,60,2,1,0,
CONTR,61,2,0,1,
CONTR,62,2,3,1,
CONTR,63,2,0,0,
CONTR,64,2,0,1,
CONTR,65,2,1,0,
CONTR,66,2,1,0,
CONTR,67,2,0,1,
CONTR,68,2,1,0,
CONTR,69,2,3,0,
CONTR,70,2,0,2,
CONTR,71,2,2,1,
CONTR,72,2,1,2,
CONTR,73,2,0,1,
CONTR,74,2,0,2,
CONTR,75,2,1,0,
CONTR,76,2,2,2,
CONTR,77,2,1,1,
CONTR,78,2,0,0,
CONTR,79,2,2,1,
CONTR,80,2,1,1,
CONTR,81,2,1,3,
CONTR,82,2,0,1,
CONTR,83,2,1,2,
CONTR,84,2,0,1,
CONTR,85,2,1,1,
CONTR,86,2,1,2,
CONTR,87,2,0,1,
CONTR,88,2,1,0,
CONTR,89,2,1,0,
CONTR,90,2,1,1,
CONTR,91,2,3,0,
CONTR,92,2,1,0,
CONTR,93,2,0,1,
CONTR,94,2,1,2,
CONTR,95,2,0,1,
CONTR,96,2,0,2,
CONTR,97,2,1,1,
CONTR,98,2,0,1,
CONTR,99,2,0,0,
CONTR,100,2,0,1,
CALDA,1,2,0,0,
CALDA,2,2,0,0,
CALDA,3,2,1,0,
CALDA,4,2,1,1,
CALDA,5,2,1,1,
CALDA,6,2,1,1,
CALDA,7,2,1,1,
