Tratamentos,REP,COL,CERC,FERR
CONTR,14,2,2,1
CONTR,15,2,2,2
CONTR,16,2,2,1
CONTR,17,2,2,1
CONTR,18,2,2,1
CONTR,19,2,2,3
CONTR,20,2,2,2
CONTR,21,2,2,1
CONTR,22,2,2,1
CONTR,23,2,2,2
CONTR,24,2,1,2
CONTR,25,2,1,1
CONTR,26,2,1,1
CONTR,27,2,1,2
CONTR,28,2,1,1
CONTR,29,2,2,3
CONTR,30,2,2,1
CONTR,31,2,1,2
CONTR,32,2,1,3
CONTR,33,2,1,2
CONTR,34,2,2,2
CONTR,35,2,2,1
CONTR,36,2,1,1
CONTR,37,2,1,2
CONTR,38,2,3,1
CONTR,39,2,3,1
CONTR,40,2,1,2
CONTR,41,2,2,2
CONTR,42,2,1,1
CONTR,43,2,2,2
CONTR,44,2,1,2
CONTR,45,2,3,1
CONTR,46,2,2,1
CONTR,47,2,2,3
CONTR,48,2,2,3
CONTR,49,2,2,1
CONTR,50,2,2,1
CONTR,51,2,2,1
CONTR,52,2,1,1
CONTR,53,2,2,1
CONTR,54,2,1,3
CONTR,55,2,3,1
CONTR,56,2,2,3
CONTR,57,2,1,2
CONTR,58,2,3,3
CONTR,59,2,1,2
CONTR,60,2,2,1
CONTR,61,2,1,2
CONTR,62,2,4,2
CONTR,63,2,1,1
CONTR,64,2,1,2
CONTR,65,2,2,1
CONTR,66,2,2,1
CONTR,67,2,1,2
CONTR,68,2,2,1
CONTR,69,2,4,1
CONTR,70,2,1,3
CONTR,71,2,3,2
CONTR,72,2,2,3
CONTR,73,2,1,2
CONTR,74,2,1,3
CONTR,75,2,2,1
CONTR,76,2,3,3
CONTR,77,2,2,2
CONTR,78,2,1,1
CONTR,79,2,3,2
CONTR,80,2,2,2
CONTR,81,2,2,4
CONTR,82,2,1,2
CONTR,83,2,2,3
CONTR,84,2,1,2
CONTR,85,2,2,2
CONTR,86,2,2,3
CONTR,87,2,1,2
CONTR,88,2,2,1
CONTR,89,2,2,1
CONTR,90,2,2,2
CONTR,91,2,4,1
CONTR,92,2,2,1
CONTR,93,2,1,2
CONTR,94,2,2,3
CONTR,95,2,1,2
CONTR,96,2,1,3
CONTR,97,2,2,2
CONTR,98,2,1,2
CONTR,99,2,1,1
CONTR,100,2,1,2
CALDA,1,2,1,1
CALDA,2,2,1,1
CALDA,3,2,2,1
CALDA,4,2,2,2
CALDA,5,2,2,2
CALDA,6,2,2,2
CALDA,7,2,2,2
CALDA,8,2,1,1
CALDA,9,2,2,1
CALDA,10,2,3,2
CALDA,11,2,1,2
CALDA,12,2,1,1
CALDA,13,2,1,1
CALDA,14,2,1,1
CALDA,15,2,2,1
CALDA,16,2,1,1
CALDA,17,2,1,2
CALDA,18,2,2,2
CALDA,19,2,1,2
CALDA,20,2,1,1
CALDA,21,2,1,1
CALDA,22,2,2,3
CALDA,23,2,1,1
CALDA,24,2,1,1
CALDA,25,2,1,1
CALDA,26,2,1,1
CALDA,27,2,1,1
CALDA,28,2,1,1
CALDA,29,2,2,4
CALDA,30,2,1,2
CALDA,31,2,1,2
CALDA,32,2,1,1
CALDA,33,2,2,2
CALDA,34,2,2,1
CALDA,35,2,2,1
CALDA,36,2,1,2
CALDA,37,2,1,1
CALDA,38,2,2,1
CALDA,39,2,2,1
CALDA,40,2,1,1
CALDA,41,2,2,1
CALDA,42,2,1,2
CALDA,43,2,2,2
CALDA,44,2,3,1
CALDA,45,2,1,1
CALDA,46,2,2,1
CALDA,47,2,3,1
CALDA,48,2,2,3
CALDA,49,2,3,1
CALDA,50,2,2,1
CALDA,51,2,1,1
CALDA,52,2,2,4
CALDA,53,2,1,2
CALDA,54,2,2,1
CALDA,55,2,3,1
CALDA,56,2,2,3
CALDA,57,2,1,2
CALDA,58,2,1,1
CALDA,59,2,1,1
CALDA,60,2,1,1
CALDA,61,2,1,2
CALDA,62,2,1,1
CALDA,63,2,2,1
CALDA,64,2,1,1
CALDA,65,2,1,1
CALDA,66,2,1,3
CALDA,67,2,1,1
CALDA,68,2,2,5
CALDA,69,2,1,1
CALDA,70,2,2,2
CALDA,71,2,1,1
CALDA,72,2,1,1
CALDA,73,2,1,1
CALDA,74,2,1,1
CALDA,75,2,1,1
CALDA,76,2,3,1
CALDA,77,2,2,2
CALDA,78,2,1,3
CALDA,79,2,1,4
CALDA,80,2,2,4
CALDA,81,2,1,4
CALDA,82,2,1,3
CALDA,83,2,2,2
